-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x64...         0.00%       0.000us         0.00%       0.000us       0.000us     911.519us         0.09%     911.519us       3.255us           0 b           0 b           0 b           0 b           280  
                                             aten::sort         0.06%     548.074us         1.48%      13.086ms       1.007ms     803.293us         0.08%     824.349us      63.411us           0 b           0 b       8.82 Mb       8.82 Mb            13  
void at_cuda_detail::cub::DeviceRadixSortOnesweepKer...         0.00%       0.000us         0.00%       0.000us       0.000us     644.956us         0.06%     644.956us      12.403us           0 b           0 b           0 b           0 b            52  
sm80_xmma_gemm_f32f32_f32f32_f32_nn_n_tilesize64x64x...         0.00%       0.000us         0.00%       0.000us       0.000us     568.352us         0.06%     568.352us     568.352us           0 b           0 b           0 b           0 b             1  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      46.593us         0.00%      46.593us       3.584us           0 b           0 b           0 b           0 b            13  
void at_cuda_detail::cub::DeviceRadixSortHistogramKe...         0.00%       0.000us         0.00%       0.000us       0.000us      43.810us         0.00%      43.810us       3.370us           0 b           0 b           0 b           0 b            13  
                                              aten::max         0.03%     262.235us         0.48%       4.204ms     323.421us      41.602us         0.00%      41.602us       3.200us           0 b           0 b      13.00 Kb      13.00 Kb            13  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      41.602us         0.00%      41.602us       3.200us           0 b           0 b           0 b           0 b            13  
                                              aten::div         0.03%     292.097us         1.25%      11.049ms     424.969us      35.618us         0.00%      35.618us       1.370us           0 b           0 b       2.95 Mb       2.95 Mb            26  
at::native::(anonymous namespace)::fill_reverse_indi...         0.00%       0.000us         0.00%       0.000us       0.000us      32.352us         0.00%      32.352us       2.489us           0 b           0 b           0 b           0 b            13  
                                           aten::gather         0.04%     346.490us         0.32%       2.814ms     108.235us      31.546us         0.00%      31.546us       1.213us           0 b           0 b      13.00 Kb      13.00 Kb            26  
                                              aten::any         0.02%     158.275us         0.03%     221.533us      17.041us      29.948us         0.00%      29.948us       2.304us           0 b           0 b       6.50 Kb       6.50 Kb            13  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      29.948us         0.00%      29.948us       2.304us           0 b           0 b           0 b           0 b            13  
                                           aten::cumsum         0.03%     272.569us         0.21%       1.844ms     141.880us      28.836us         0.00%      28.836us       2.218us           0 b           0 b       6.50 Kb       6.50 Kb            13  
                                              aten::sum         0.03%     232.495us        21.49%     190.050ms      13.575ms      26.400us         0.00%      26.400us       1.886us           0 b           0 b       7.00 Kb       7.00 Kb            14  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      26.400us         0.00%      26.400us       1.886us           0 b           0 b           0 b           0 b            14  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.698us         0.00%      21.698us       1.669us           0 b           0 b           0 b           0 b            13  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      19.967us         0.00%      19.967us       1.175us           0 b           0 b           0 b           0 b            17  
void at_cuda_detail::cub::DeviceScanKernel<at_cuda_d...         0.00%       0.000us         0.00%       0.000us       0.000us      19.651us         0.00%      19.651us       1.512us           0 b           0 b           0 b           0 b            13  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      19.458us         0.00%      19.458us       1.497us           0 b           0 b           0 b           0 b            13  
                                       embedding_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      18.336us         0.00%      18.336us       1.410us           0 b           0 b           0 b           0 b            13  
                              aten::_local_scalar_dense         0.01%     116.468us        31.59%     279.349ms      18.623ms      17.183us         0.00%      17.183us       1.146us           0 b           0 b           0 b           0 b            15  
                                               aten::eq         0.02%     162.980us         0.03%     255.744us      18.267us      16.577us         0.00%      16.577us       1.184us           0 b           0 b       7.00 Kb       7.00 Kb            14  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      15.964us         0.00%      15.964us       1.228us           0 b           0 b           0 b           0 b            13  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      15.745us         0.00%      15.745us       1.211us           0 b           0 b           0 b           0 b            13  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      15.679us         0.00%      15.679us       1.206us           0 b           0 b           0 b           0 b            13  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      15.582us         0.00%      15.582us       1.199us           0 b           0 b           0 b           0 b            13  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 884.200ms
Self CUDA time total: 1.020s

